year,fips,GIS Join Match Code,NHGIS Integrated State Name,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Total,Persons: Urban,Persons: Urban--Inside urbanized areas,Persons: Urban--Outside urbanized areas (in urban clusters),Persons: Rural,Persons: Male,Persons: Female,Persons: Under 5 years,Persons: 5 to 9 years,Persons: 10 to 14 years,Persons: 15 to 17 years,Persons: 18 and 19 years,Persons: 20 years,Persons: 21 years,Persons: 22 to 24 years,Persons: 25 to 29 years,Persons: 30 to 34 years,Persons: 35 to 44 years,Persons: 45 to 54 years,Persons: 55 to 59 years,Persons: 60 and 61 years,Persons: 62 to 64 years,Persons: 65 to 74 years,Persons: 75 to 84 years,Persons: 85 years and over,Persons: 18-24,Persons: 25-34,Persons: 35-44,Persons: 45-54,Persons: 55-64,Persons: 65+,Persons: White (single race),Persons: Black or African American (single race),Persons: American Indian and Alaska Native (single race),Persons: Asian and Pacific Islander and Other Race (single race),Persons: Two or More Races,Persons: Asian and Pacific Islander and Other and Two or More Races,Total Race,Persons: 25 years and over ~ Less than 9th grade,Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),"Families: Income less than $10,000","Families: Income $10,000 to $14,999","Families: Income $15,000 to $24,999","Families: Income $25,000 to $49,999","Families: Income $50,000 or more",approx avg income,estimated sd,dem_vote,gop_vote,lean_prev,lean_prev2,dem_vote_lean_prev2,gop_vote_lean_prev2,hlean_prev2,hlean_prev,us_state,dem_pct_two_party,lean,total_votes_two_party,total_votes,dem_poll,gop_poll,dem_lean2_plus_poll,gop_lean2_plus_poll
1948,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454101667,0.545898333,0.14372,0.12287,0.37713,0.62287,0.148207831,0.036136435,KS,0.4541016670946562,0.0691847893241081,774941.0,788819.0,0.474,0.526,0.35113,0.6488700000000001
1948,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577692626,0.422307374,-0.00858,-0.02588,0.52588,0.47412,-0.028151626,-0.072988819,KY,0.5776926256797934,-0.054406169261029,807966.0,822658.0,0.474,0.526,0.49988,0.50012
1948,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652360515,0.347639485,-0.26831,-0.30909,0.80909,0.19091000000000002,-0.481651523,-0.505925521,LA,0.6523605150214592,-0.1290740586026948,209001.0,416336.0,0.474,0.526,0.78309,0.21691000000000005
1948,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426915888,0.573084112,0.06274,0.06166,0.43834,0.56166,0.225302659,0.074066396,ME,0.4269158878504672,0.0963705685682971,262150.0,264034.0,0.474,0.526,0.41234,0.5876600000000001
1948,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49286728,0.50713272,0.01922,-0.03792,0.53792,0.46208,-0.045719157,-0.081801254,MD,0.5093386903458877,0.0139477660728766,826829.0,848149.0,0.474,0.526,0.5119199999999999,0.48808
1948,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558806263,0.441193737,0.00862,0.01607,0.48392999999999997,0.51607,0.048493375,-0.022623761,MA,0.5588062632753044,-0.03551980685654,2061158.0,2107147.0,0.474,0.526,0.45792999999999995,0.54207
1948,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491394158,0.508605842,0.03261,0.05167,0.44833,0.55167,0.04123156,0.052222959,MI,0.491394157713623,0.0318922987051413,2042043.0,2109609.0,0.474,0.526,0.42233,0.57767
1948,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588964824,0.411035176,0.00979,0.03068,0.46932,0.53068,0.108717659,0.440592388,MN,0.5889648244110275,-0.0656783679922631,1176583.0,1212226.0,0.474,0.526,0.44332,0.5566800000000001
1948,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793548123,0.206451877,-0.39784,-0.40807,0.9080699999999999,0.09193000000000001,-0.448061662,-0.559407612,MS,0.7935481229786711,-0.2702616665599067,24427.0,192190.0,0.474,0.526,0.8820699999999999,0.11793000000000003
1948,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583402338,0.416597662,0.02299,0.0261,0.4739,0.5261,-0.00636363,-0.037261435,MO,0.5834023381503147,-0.0601158817315503,1572354.0,1709743.0,0.474,0.526,0.44789999999999996,0.5521
