,year,state,resent_0,resent_1,resent_2,resent_3,resent_4,resent_5,resent_6,ideo_0,ideo_1,ideo_2,ideo_3,ideo_4,ideo_5,ideo_6,rlean,rlean_rolling2,masseconlib_est,masssociallib_est,predict_ideo4,predict_resent4
0,1948,,,,,,,,,,,,,,,,,,,,,
1,1948,NY,,,,,,,,,,,,,,,,,0.3466419368769749,0.25023545583376894,,
2,1948,OH,,,,,,,,,,,,,,,,,0.05640663821930246,-0.29618035703832934,,
3,1948,ID,,,,,,,,,,,,,,,,,0.0428091623156533,-0.3712519789635153,,
4,1948,MI,,,,,,,,,,,,,,,,,0.13477586982105166,-0.15202170730641312,,
5,1948,GA,,,,,,,,,,,,,,,,,0.08568228520711861,-0.6621927011578411,,
6,1948,NE,,,,,,,,,,,,,,,,,-0.039258038290461116,-0.41401393037662776,,
7,1948,MA,,,,,,,,,,,,,,,,,0.1747327684077418,0.20371047548449678,,
8,1948,KY,,,,,,,,,,,,,,,,,0.09810095258100415,-0.5950557925019325,,
9,1948,MO,,,,,,,,,,,,,,,,,0.03671644938557461,-0.40605396018105927,,
10,1948,NC,,,,,,,,,,,,,,,,,-0.007450335146815546,-0.6638201202995901,,
11,1948,AR,,,,,,,,,,,,,,,,,0.14782385639685872,-0.7440615416957074,,
12,1948,MN,,,,,,,,,,,,,,,,,0.11299475149263125,-0.21912449894036037,,
13,1948,TN,,,,,,,,,,,,,,,,,0.00859598049184914,-0.6691412430782314,,
14,1948,KS,,,,,,,,,,,,,,,,,-0.047931252502351,-0.5294293228145355,,
15,1948,WI,,,,,,,,,,,,,,,,,0.02579889774038465,0.10529729767379134,,
16,1948,IN,,,,,,,,,,,,,,,,,0.03779908479582901,-0.38902851968433316,,
17,1948,CT,,,,,,,,,,,,,,,,,0.09799351303480411,0.04578784959067332,,
18,1948,NJ,,,,,,,,,,,,,,,,,0.1804659399759248,0.15522670574815417,,
19,1948,AL,,,,,,,,,,,,,,,,,0.052189501294571075,-0.4373026849095121,,
20,1948,OR,,,,,,,,,,,,,,,,,0.15723958877528674,-0.2299738946728701,,
21,1948,SD,,,,,,,,,,,,,,,,,-0.030988728909285723,-0.08565133126926042,,
22,1948,LA,,,,,,,,,,,,,,,,,-0.04618310420641012,-0.09053323087317258,,
23,1948,DC,,,,,,,,,,,,,,,,,,,,
24,1948,CA,,,,,,,,,,,,,,,,,0.14410123029242805,0.03164502742459665,,
25,1948,CO,,,,,,,,,,,,,,,,,0.07381856958191588,-0.14522044150401484,,
26,1948,NM,,,,,,,,,,,,,,,,,0.06186167009924264,-0.3779262686131485,,
27,1948,IL,,,,,,,,,,,,,,,,,0.06656120331926599,-0.1510644243015375,,
28,1948,PA,,,,,,,,,,,,,,,,,0.18610917663508822,-0.04409631669865481,,
29,1948,TX,,,,,,,,,,,,,,,,,0.005756926010461055,-0.5282019447014792,,
30,1948,SC,,,,,,,,,,,,,,,,,0.033950816454636074,-0.6576065692746014,,
31,1948,MS,,,,,,,,,,,,,,,,,-0.09061377128270488,-0.4832564782323536,,
32,1948,IA,,,,,,,,,,,,,,,,,-0.023904031194627123,-0.421259235869929,,
33,1948,MD,,,,,,,,,,,,,,,,,0.13057648869869878,-0.08163579517177558,,
34,1948,WA,,,,,,,,,,,,,,,,,0.21975879350009533,-0.04321452825333254,,
35,1948,VA,,,,,,,,,,,,,,,,,-0.023198087568270243,-0.5448869319215028,,
36,1948,FL,,,,,,,,,,,,,,,,,0.01601388915268407,-0.3220433956906527,,
37,1948,ME,,,,,,,,,,,,,,,,,0.0021957835191039905,-0.2850626825257896,,
38,1948,UT,,,,,,,,,,,,,,,,,0.10913927335065172,-0.32364371858014995,,
39,1948,OK,,,,,,,,,,,,,,,,,0.1594393912217663,-0.5355229128044415,,
40,1948,AZ,,,,,,,,,,,,,,,,,-0.05310272522056614,-0.18392056849668179,,
41,1948,WV,,,,,,,,,,,,,,,,,0.05805185033673911,-0.6327865656265825,,
42,1948,WY,,,,,,,,,,,,,,,,,0.08467052270563624,0.06661999459517229,,
43,1948,DE,,,,,,,,,,,,,,,,,0.1660180085004087,-0.16204997550785796,,
44,1948,NH,,,,,,,,,,,,,,,,,0.08378712222749637,0.1535064769519882,,
45,1948,HI,,,,,,,,,,,,,,,,,,,,
46,1948,NV,,,,,,,,,,,,,,,,,0.1902704111768173,0.2716887789293521,,
47,1948,ND,,,,,,,,,,,,,,,,,0.05094330492152155,-0.4059582265744466,,
48,1948,RI,,,,,,,,,,,,,,,,,0.24468262364156929,0.28648721814360195,,
49,1948,VT,,,,,,,,,,,,,,,,,0.04706264806403986,-0.2611772106587067,,
50,1948,MT,,,,,,,,,,,,,,,,,0.0857869595556531,-0.1538639118466787,,
51,1948,AK,,,,,,,,,,,,,,,,,,,,
52,1952,,,,,,,,,,,,,,,,,,,,,
53,1952,NY,,,,,,,,,,,,,,,,,0.2383626169037111,0.021926431293301393,,
54,1952,OH,,,,,,,,,,,,,,,,,-0.08649615000748566,-0.3207525120678505,,
55,1952,ID,,,,,,,,,,,,,,,,,-0.02238350382598476,-0.26304611402941,,
56,1952,MI,,,,,,,,,,,,,,,,,-0.05532671838451144,-0.20418313114176145,,
57,1952,GA,,,,,,,,,,,,,,,,,0.19667855554204663,-0.48597915544234616,,
58,1952,NE,,,,,,,,,,,,,,,,,-0.2397051328213006,-0.2278870719728609,,
59,1952,MA,,,,,,,,,,,,,,,,,0.04513818095313594,0.07958239985566082,,
60,1952,KY,,,,,,,,,,,,,,,,,-0.07575011601056818,-0.4175817984548678,,
61,1952,MO,,,,,,,,,,,,,,,,,0.002972034457123416,-0.28752757401075835,,
62,1952,NC,,,,,,,,,,,,,,,,,0.08330742535587159,-0.36753879155560354,,
63,1952,AR,,,,,,,,,,,,,,,,,0.0016908645392982747,-0.47141339853070385,,
64,1952,MN,,,,,,,,,,,,,,,,,0.011786343672674452,-0.28883101829567576,,
65,1952,TN,,,,,,,,,,,,,,,,,0.018601315060466986,-0.6207985552218696,,
66,1952,KS,,,,,,,,,,,,,,,,,-0.0917036088054007,-0.35038025357912306,,
67,1952,WI,,,,,,,,,,,,,,,,,-0.0775013686019008,-0.049882571880835364,,
68,1952,IN,,,,,,,,,,,,,,,,,-0.1848754096412155,-0.304186930457268,,
69,1952,CT,,,,,,,,,,,,,,,,,0.07479838229401868,-0.2892882514614548,,
70,1952,NJ,,,,,,,,,,,,,,,,,0.22078735062758315,0.10498360491303849,,
71,1952,AL,,,,,,,,,,,,,,,,,0.081482093245512,-0.34122666137276286,,
72,1952,OR,,,,,,,,,,,,,,,,,0.10520627596793543,-0.3173374392643598,,
73,1952,SD,,,,,,,,,,,,,,,,,0.07045835883379992,-0.05155716365907192,,
74,1952,LA,,,,,,,,,,,,,,,,,0.07774158437961448,-0.38463656535476703,,
75,1952,DC,,,,,,,,,,,,,,,,,,,,
76,1952,CA,,,,,,,,,,,,,,,,,0.11707648908757098,-0.08405352269621429,,
77,1952,CO,,,,,,,,,,,,,,,,,-0.024334277222977832,-0.3285756292645233,,
78,1952,NM,,,,,,,,,,,,,,,,,0.1282165057955415,-0.42207308161319257,,
79,1952,IL,,,,,,,,,,,,,,,,,0.05881490882717155,-0.22428031693887523,,
80,1952,PA,,,,,,,,,,,,,,,,,0.10877328682556307,-0.1888876895706408,,
81,1952,TX,,,,,,,,,,,,,,,,,-0.037903358306829726,-0.23323671130860665,,
82,1952,SC,,,,,,,,,,,,,,,,,0.03070504809225153,-0.639478642947882,,
83,1952,MS,,,,,,,,,,,,,,,,,-0.002825885005535062,-0.5307845043890058,,
84,1952,IA,,,,,,,,,,,,,,,,,-0.014183324518168573,-0.21565823402061587,,
85,1952,MD,,,,,,,,,,,,,,,,,0.048247285905014176,-0.14534049294957038,,
86,1952,WA,,,,,,,,,,,,,,,,,0.10075351431403562,-0.24473519621577627,,
87,1952,VA,,,,,,,,,,,,,,,,,-0.18620597131193953,-0.42963820435267003,,
88,1952,FL,,,,,,,,,,,,,,,,,0.0014703426567890976,-0.32148572287917465,,
89,1952,ME,,,,,,,,,,,,,,,,,0.11904634904323043,-0.25120715214064165,,
90,1952,UT,,,,,,,,,,,,,,,,,-0.04422125117729599,-0.21459773980576033,,
91,1952,OK,,,,,,,,,,,,,,,,,-0.02000448539886577,-0.5088910155706452,,
92,1952,AZ,,,,,,,,,,,,,,,,,0.050127805299657435,-0.2558316867217322,,
93,1952,WV,,,,,,,,,,,,,,,,,0.044962785728948185,-0.39669360936536086,,
94,1952,WY,,,,,,,,,,,,,,,,,0.0015881783707528687,-0.23257219646830293,,
95,1952,DE,,,,,,,,,,,,,,,,,0.15981555342780107,-0.24999853077635595,,
96,1952,NH,,,,,,,,,,,,,,,,,0.17681509024778333,-0.1358479217387449,,
97,1952,HI,,,,,,,,,,,,,,,,,,,,
98,1952,NV,,,,,,,,,,,,,,,,,0.1441687063243204,-0.1791466718114177,,
99,1952,ND,,,,,,,,,,,,,,,,,0.011684340551702603,-0.3517738167204077,,
100,1952,RI,,,,,,,,,,,,,,,,,0.11244824560670448,-0.03237893363411185,,
101,1952,VT,,,,,,,,,,,,,,,,,-0.11336209383405095,-0.1230052269526666,,
102,1952,MT,,,,,,,,,,,,,,,,,0.08288326977165827,-0.20256108083501503,,
103,1952,AK,,,,,,,,,,,,,,,,,,,,
104,1954,,,,,,,,,,,,,,,,,,,,,
105,1954,NY,,,,,,,,,,,,,,,,,0.20932117979362694,-0.02420862608943264,,
106,1954,OH,,,,,,,,,,,,,,,,,0.07451291310491659,-0.3343698416681923,,
107,1954,ID,,,,,,,,,,,,,,,,,-0.032399968580461444,-0.1525349707817987,,
108,1954,MI,,,,,,,,,,,,,,,,,0.09185474678357328,-0.35352169283004736,,
109,1954,GA,,,,,,,,,,,,,,,,,0.15830995047539967,-0.56524707388288,,
110,1954,NE,,,,,,,,,,,,,,,,,-0.1144447002670843,-0.26952972469755565,,
111,1954,MA,,,,,,,,,,,,,,,,,0.22545750421974986,0.050397983587768425,,
112,1954,KY,,,,,,,,,,,,,,,,,0.13679744501152583,-0.6592910045763204,,
113,1954,MO,,,,,,,,,,,,,,,,,0.03660179544357884,-0.39261327954075953,,
114,1954,NC,,,,,,,,,,,,,,,,,-0.05706439320809056,-0.5066456640571307,,
115,1954,AR,,,,,,,,,,,,,,,,,0.29803526363777544,-0.45878881792738613,,
116,1954,MN,,,,,,,,,,,,,,,,,-0.12684421782651928,-0.1722762978804977,,
117,1954,TN,,,,,,,,,,,,,,,,,-0.02557185606335474,-0.7638394309683025,,
118,1954,KS,,,,,,,,,,,,,,,,,-0.0008883553156591178,-0.4336731492816005,,
119,1954,WI,,,,,,,,,,,,,,,,,-0.05117562379348323,0.07237452431458712,,
120,1954,IN,,,,,,,,,,,,,,,,,-0.020573937900333995,-0.25624560428464854,,
121,1954,CT,,,,,,,,,,,,,,,,,-0.05474129694900697,0.016918020317296344,,
122,1954,NJ,,,,,,,,,,,,,,,,,0.12244310018887135,0.1025049192041323,,
123,1954,AL,,,,,,,,,,,,,,,,,0.2627404229244051,-0.6620888163949008,,
124,1954,OR,,,,,,,,,,,,,,,,,0.1380130454743738,-0.25101454576627297,,
125,1954,SD,,,,,,,,,,,,,,,,,-0.1304481254060632,-0.3639623113378909,,
126,1954,LA,,,,,,,,,,,,,,,,,0.20123308675468876,-0.408173043005887,,
127,1954,DC,,,,,,,,,,,,,,,,,,,,
128,1954,CA,,,,,,,,,,,,,,,,,0.0328629480211082,-0.12914115526845993,,
129,1954,CO,,,,,,,,,,,,,,,,,-0.12980512643841813,-0.24639941344000335,,
130,1954,NM,,,,,,,,,,,,,,,,,0.10652499404002144,-0.2937399726511531,,
131,1954,IL,,,,,,,,,,,,,,,,,0.09333040925338339,-0.2286888322716822,,
132,1954,PA,,,,,,,,,,,,,,,,,0.14047132950674818,-0.27464489335795256,,
133,1954,TX,,,,,,,,,,,,,,,,,0.06973474967898646,-0.5749358223369563,,
134,1954,SC,,,,,,,,,,,,,,,,,0.08942168660726599,-0.4412617453429175,,
135,1954,MS,,,,,,,,,,,,,,,,,0.19181622967180362,-0.5545833934043505,,
136,1954,IA,,,,,,,,,,,,,,,,,-0.08522476033139612,-0.20458216848312594,,
137,1954,MD,,,,,,,,,,,,,,,,,0.16561457437504917,-0.29030881109010914,,
138,1954,WA,,,,,,,,,,,,,,,,,-0.08798890240149504,-0.11435608621935109,,
139,1954,VA,,,,,,,,,,,,,,,,,0.07787240279791505,-0.5316523061241774,,
140,1954,FL,,,,,,,,,,,,,,,,,0.16240565198195336,-0.24110354750378285,,
141,1954,ME,,,,,,,,,,,,,,,,,0.15776731169438893,-0.2963954628798309,,
142,1954,UT,,,,,,,,,,,,,,,,,-0.021855117382574223,-0.3653628476490408,,
143,1954,OK,,,,,,,,,,,,,,,,,0.017723866569871002,-0.48166427518312965,,
144,1954,AZ,,,,,,,,,,,,,,,,,0.0084683067106735,-0.3374037773647771,,
145,1954,WV,,,,,,,,,,,,,,,,,0.18287404024693493,-0.20127086239151615,,
