year,state,year,state,lean_current,dem_share,lean_prev,total_votes_two_party,total_votes,rdi_yr_to_election,rdi_election_year_change,inc_midterm_change,inc_has_house,inc_tenure,gdp_yoy,inflation_yoy,unemployment,inc_pres,state_pop,state_evs,inc_party_cand_approval,inc_pres_approval,hlean_prev,hlean_prev2,hlean_prev3,hlean_prev4,dem_hshare_prev,dem_hshare_prev2,dem_hshare_prev3,dem_hshare_prev4,lean_prev2,lean_prev3,lean_prev4,lean_trend,inc_party,inc_candidate,noninc_candidate,rosenstone_dem_new_deal,rosenstone_dem_race,spliced_BPHI_dem,dem_nom_dim1,dem_nom_dim2,dem_lean_current,rosenstone_gop_new_deal,rosenstone_gop_race,spliced_BPHI_gop,gop_nom_dim1,gop_nom_dim2,gop_share,gop_lean_current,dem_evs,spliced_diff_natl_dem_minus_gop,inc_home_state,noninc_home_state,inc_vp_home_state,noninc_vp_home_state,inc_south_bonus,noninc_south_bonus,state_liberalism,rstone_state_ndsw,rstone_state_race,state_nom_dim1,state_nom_dim2,state_citizen_nom,berry_citizen,berry_gov,dem_cfscore,gop_cfscore,mean_cfscore_adj,mean_cfscore_unweighted,mean_cfscore_adj_smooth,mean_cfscore_smooth,mean_cfscore
1948,GA,1948,GA,-0.24484,0.768540791,-0.27974,331337,418844,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,3259,12,69,69,-0.559407612,-0.481651523,-0.524273108,,1,1,1,1,-0.3012,-0.24906,-0.3303,-0.03068,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.24484,0.605250911,0.108064006,0.57784493,,,0.231459209,-0.24484,12,0.47993717,0,0,0,0,0,0,-1.398718709,1.2,2.5,,,,,,,,,,,,
1948,HI,1948,HI,,,,,,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,,0,69,69,,,,,,,,,,,,,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,,0.605250911,0.108064006,0.57784493,,,,,0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,
1948,ID,1948,ID,0.00968,0.514017349,0.02024,208884,214816,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,551,4,69,69,0.00566778,0.003496843,-0.011902808,-0.003171288,0.434924608,0.434924608,0.434924608,0.434924608,0.00459,-0.03025,-0.01371,0.05049,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.00968,0.605250911,0.108064006,0.57784493,,,0.485982651,0.00968,4,0.47993717,0,0,0,0,0,0,-0.077224184,9.6,7.9,,,,,,,,,,,,
1948,IL,1948,IL,0.01945,0.504248426,0.0203,3955818,3984046,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,8552,28,69,69,-0.005961047,-0.006469047,-0.009235926,0.043640516,0.446553435,0.446553435,0.446553435,0.446553435,0.03777,0.0321,0.02369,-0.0118,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.01945,0.605250911,0.108064006,0.57784493,,,0.495751574,0.01945,28,0.47993717,0,0,0,0,0,0,0.91410351,6.3,8.3,,,,,,,,,,,,
1948,IN,1948,IN,0.02777,0.495934096,0.06625,1628910,1656212,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,3877,13,69,69,-0.007255439,0.050555365,0.030455388,0.040755324,0.447847827,0.447847827,0.447847827,0.447847827,0.05716,0.04974,0.03144,0.01651,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.02777,0.605250911,0.108064006,0.57784493,,,0.504065904,0.02777,0,0.47993717,0,0,0,0,0,0,-0.031100189,3.2,9.2,,,,,,,,,,,,
1948,IA,1948,IA,0.00975,0.513952212,0.06037,1016398,1038264,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2543,10,69,69,0.05609914,0.086046435,0.094676454,0.079062662,0.384493247,0.384493247,0.384493247,0.384493247,0.07211,0.06428,0.00083,-0.00391,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.00975,0.605250911,0.108064006,0.57784493,,,0.486047788,0.00975,10,0.47993717,0,0,0,0,0,0,-0.139074523,6,11,,,,,,,,,,,,
1948,KS,1948,KS,0.0696,0.454101667,0.14372,774941,788819,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1892,8,69,69,0.036136435,0.148207831,0.081373234,0.108291087,0.404455953,0.404455953,0.404455953,0.404455953,0.12287,0.08583,0.04321,0.05789,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.0696,0.605250911,0.108064006,0.57784493,,,0.545898333,0.0696,0,0.47993717,0,0,0,0,0,0,0.110404951,7.2,8.8,,,,,,,,,,,,
1948,KY,1948,KY,-0.05399,0.577692626,-0.00858,807966,822658,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2817,11,69,69,-0.072988819,-0.028151626,-0.089082326,-0.028763694,0.513581206,0.513581206,0.513581206,0.513581206,-0.02588,0.03009,-0.00379,-0.03867,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.05399,0.605250911,0.108064006,0.57784493,,,0.422307374,-0.05399,11,0.47993717,0,0,1,0,0,0,-0.625278071,3.3,6.8,,,,,,,,,,,,
1948,LA,1948,LA,-0.12866,0.652360515,-0.26831,209001,416336,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2596,10,69,69,-0.505925521,-0.481651523,-0.524273108,-0.42507706,0.946517909,0.946517909,0.946517909,0.946517909,-0.30909,-0.26385,-0.33823,-0.00446,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,0.12866,0.605250911,0.108064006,0.57784493,,,0.347639485,-0.12866,10,0.47993717,0,0,0,0,0,0,-0.161514221,5,2,,,,,,,,,,,,
1948,ME,1948,ME,0.09678,0.426915888,0.06274,262150,264034,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,878,5,69,69,0.074066396,0.225302659,0.171663357,0.177593089,0.366525992,0.366525992,0.366525992,0.366525992,0.06166,0.19654,0.15531,-0.1338,0,Truman_1948,Dewey_1948,-0.826145404,-1.026608053,-1.0577821,-0.374,0.014,-0.09678,0.605250911,0.108064006,0.57784493,,,0.573084112,0.09678,0,0.47993717,0,0,0,0,0,0,-0.058676488,9.5,7.8,,,,,,,,,,,,
