year,fips,GIS Join Match Code,NHGIS Integrated State Name,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Total,Persons: Urban,Persons: Urban--Inside urbanized areas,Persons: Urban--Outside urbanized areas (in urban clusters),Persons: Rural,Persons: Male,Persons: Female,Persons: Under 5 years,Persons: 5 to 9 years,Persons: 10 to 14 years,Persons: 15 to 17 years,Persons: 18 and 19 years,Persons: 20 years,Persons: 21 years,Persons: 22 to 24 years,Persons: 25 to 29 years,Persons: 30 to 34 years,Persons: 35 to 44 years,Persons: 45 to 54 years,Persons: 55 to 59 years,Persons: 60 and 61 years,Persons: 62 to 64 years,Persons: 65 to 74 years,Persons: 75 to 84 years,Persons: 85 years and over,Persons: 18-24,Persons: 25-34,Persons: 35-44,Persons: 45-54,Persons: 55-64,Persons: 65+,Persons: White (single race),Persons: Black or African American (single race),Persons: American Indian and Alaska Native (single race),Persons: Asian and Pacific Islander and Other Race (single race),Persons: Two or More Races,Persons: Asian and Pacific Islander and Other and Two or More Races,Total Race,Persons: 25 years and over ~ Less than 9th grade,Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),"Families: Income less than $10,000","Families: Income $10,000 to $14,999","Families: Income $15,000 to $24,999","Families: Income $25,000 to $49,999","Families: Income $50,000 or more",approx avg income,estimated sd,dem_vote,gop_vote,lean_prev,lean_prev2,dem_vote_lean_prev2,gop_vote_lean_prev2,hlean_prev2,hlean_prev
1948,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50122599,0.49877401,0.03957,0.02796,0.47204,0.52796,0.049316563,0.035785581
1948,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627470382,0.372529618,-0.01921,-0.02619,0.52619,0.47381,-0.068573328,-0.14454313
1948,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482385711,0.517614289,0.01319,0.00935,0.49065,0.50935,0.133403603,0.088986845
1948,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479509378,0.520490622,0.02378,0.01538,0.48462,0.51538,0.01122136,0.019390492
1948,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581579734,0.418420266,-0.04904,-0.01784,0.51784,0.48216,-0.079235237,-0.10677825
1948,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864703961,0.135296039,-0.41384,-0.40633,0.90633,0.09367,-0.481057633,-0.550194329
1948,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475742406,0.524257594,0.12102,0.12409,0.37591,0.62409,0.169140302,0.083944695
1948,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571292752,0.428707248,-0.06874,-0.12518,0.62518,0.37482,-0.145986529,-0.24254495
1948,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.730897879,0.269102121,-0.2733,-0.26055,0.76055,0.23945,-0.422686796,-0.510558978
1948,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545236207,0.454763793,-0.0675,-0.07352,0.57352,0.42648,-0.085472918,-0.044954263
1948,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375007203,0.624992797,0.10837,0.09943,0.40057,0.59943,0.142517614,0.08398167
1948,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538508164,0.461491836,-0.08746,-0.1333,0.6333,0.3667,-0.251384058,-0.232332671
1948,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.552088164,0.447911836,-0.03597,-0.03927,0.53927,0.46073,-0.013178805,0.024943206
1948,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575752007,0.424247993,-0.01114,-0.02099,0.52099,0.47901,-0.024053435,-0.060500586
1948,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.522753941,0.477246059,0.04684,0.04075,0.45925,0.54075,0.149082428,0.103847003
1948,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.521968874,0.478031126,0.05008,0.02027,0.47973,0.52027,0.075534989,0.000753869
1950,1,G010,Alabama,10,Alabama,3061743,,,,,1502640,1559103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,0.5,,
1950,4,G040,Arizona,40,Arizona,749587,,,,,379059,370528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,0.5,,
1950,5,G050,Arkansas,50,Arkansas,1909511,,,,,951534,957977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,0.5,,
