,rdi_yr_to_election,rdi_election_year_change,inflation_yoy,unemployment,inc_tenure,inc_party_cand_approval,inc_midterm_change,inc_pres_approval,gdp_yoy,lean_prev,lean_prev2,hlean_prev,hlean_prev2,year,state,inc_party,dem_share,berry_citizen,dem_rdi_yr_to_election,dem_rdi_election_year_change,dem_inflation_yoy,dem_unemployment,dem_inc_tenure,dem_inc_party_cand_approval,dem_inc_midterm_change,dem_inc_pres_approval,dem_gdp_yoy,dem_lean_prev,dem_lean_prev2,dem_hlean_prev,dem_hlean_prev2
0,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,-0.27931,-0.3059799999999999,-0.4808503603932259,-0.3832573169800469,1948,AL,0,,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,0.27931,0.3059799999999999,0.4808503603932259,0.3832573169800469
1,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,,,,,1948,AK,0,,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,,,,
2,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,-0.0520399999999999,-0.0880999999999999,-0.2264661477768166,-0.1808180841036547,1948,AZ,0,0.5510679903730445,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,0.0520399999999999,0.0880999999999999,0.2264661477768166,0.1808180841036547
3,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,-0.16322,-0.24017,-0.5396733223221917,-0.4055912740366699,1948,AR,0,0.7459898912360805,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,0.16322,0.24017,0.5396733223221917,0.4055912740366699
4,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,-0.03017,-0.0314799999999999,-0.0117728553294532,0.0055380806240923,1948,CA,0,0.5023454713169798,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,0.03017,0.0314799999999999,0.0117728553294532,-0.0055380806240923
5,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,0.07193,0.06286,-0.0007390084727101,0.0909523137061144,1948,CO,0,0.5271931866146484,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,-0.07193,-0.06286,0.0007390084727101,-0.0909523137061144
6,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,0.0107199999999999,0.0141999999999999,0.0170590996408496,0.0021462287526483,1948,CT,0,0.4916050268799409,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,-0.0107199999999999,-0.0141999999999999,-0.0170590996408496,-0.0021462287526483
7,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,,,,,1948,DC,0,,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,,,,
8,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,-0.00797,0.00164,0.004470110495715,0.0131769571032809,1948,DE,0,0.49354080392428,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,0.00797,-0.00164,-0.004470110495715,-0.0131769571032809
9,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,-0.1654999999999999,-0.1901399999999999,-0.3685620110220762,-0.4816515230986592,1948,FL,0,0.5920784096349114,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,0.1654999999999999,0.1901399999999999,0.3685620110220762,0.4816515230986592
10,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,-0.27974,-0.3011999999999999,-0.5594076121315037,-0.4816515230986592,1948,GA,0,0.7685407907960777,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,0.27974,0.3011999999999999,0.5594076121315037,0.4816515230986592
11,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,,,,,1948,HI,0,,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,,,,
12,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,0.02024,0.00459,0.0056677802984855,0.0034968434623992,1948,ID,0,0.5140173493422187,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,-0.02024,-0.00459,-0.0056677802984855,-0.0034968434623992
13,1.07334759127334,1.03297570344329,0.077,3.8,16,69.0,-0.0669085832482177,69.0,0.0389,0.0202999999999999,0.03777,-0.0059610473943301,-0.0064690472657058,1948,IL,0,0.5042484259892644,,-1.07334759127334,-1.03297570344329,-0.077,-3.8,-16,-69.0,0.0669085832482177,-69.0,-0.0389,-0.0202999999999999,-0.03777,0.0059610473943301,0.0064690472657058
