"election_year","us_state","fips","dem_pct_two_party","lean","total_votes_two_party","total_votes","lean_centered","lean_centered2","lean_prev","lean_prev2"
"2020","AL","1","0.37089316645247806895","0.15196930629673380615","2290816","2323304","0.15292915727816309678","0.14594429491876171348","0.15388900825959238741","0.14293178922977566715"
"2020","AZ","4","0.50156831679129313471","0.02129415595791874039","3333829","3387326","0.02517098114414912733","0.03876268313030400758","0.02904780633037951426","0.04749694671649664118"
"2020","AR","5","0.35787566722016851557","0.16498680552904335953","1184579","1219069","0.15899287737336647151","0.15311403104153700273","0.15299894921768958348","0.14717764379778382433"
"2020","CA","6","0.64909689773585401729","-0.12623442498664214219","17115725","17495906","-0.13873693411665588561","-0.12546323166689870154","-0.15123944324666962903","-0.12507763500702698122"
"2020","CO","8","0.56938319492300152826","-0.04652072217378965316","3168959","3256953","-0.03160344909466817328","-0.02362489494833882930","-0.01668617601554669339","-0.01217698133561341737"
"2020","CT","9","0.60172463809270862391","-0.07886216534349674881","1795971","1824280","-0.07006503409807409787","-0.06934928235683164449","-0.06126790285265144693","-0.06459284086349909234"
"2020","DE","10","0.59626744164984472831","-0.07340496890063285321","496871","504010","-0.06162180550873005784","-0.06596695844821994163","-0.04983864211682726246","-0.06224795322201348584"
"2020","DC","11","0.94466953847619444552","-0.42180706572698257042","335909","344356","-0.43430568841276923127","-0.42489186132704391671","-0.44680431109855589212","-0.42643425912707458986"
"2020","FL","12","0.48305245337858442485","0.03981001937062745025","10965776","11067456","0.02807297320918360401","0.02384523663009559387","0.01633592704773975777","0.01586284525982966569"
"2020","GA","13","0.50119329662908645084","0.02166917612012542426","4935487","4997716","0.02921423721657125048","0.03926908342643054227","0.03675929831301707669","0.04806903707958310127"
"2020","HI","15","0.65033977599295226796","-0.12747730324374039286","563018","574493","-0.14587645956223830243","-0.16295453438384288770","-0.16427561588073621199","-0.18069314995389413512"
"2020","ID","16","0.34122897642363509479","0.18163349632557678031","841139","868105","0.18744141772680878418","0.18630299625165092091","0.19324933912804078805","0.18863774621468799121"
"2020","IL","17","0.58659043732806920855","-0.06372796457885733345","5918806","6038850","-0.07189231434958932951","-0.06991585925158861447","-0.08005666412032132557","-0.07300980658795425499"
"2020","IN","18","0.41801815198561944484","0.10484432076359243026","2972347","3033198","0.10738787432520672755","0.09556644703253207847","0.10993142788682102483","0.09092751016700190258"
"2020","IA","19","0.45816736915362946232","0.06469510359558241278","1656733","1690871","0.06273907718338540351","0.03856563998378363888","0.06078305077118839424","0.02550090817788425194"
"2020","KS","20","0.42427259450974316680","0.09858987823946870830","1316769","1349567","0.11068682292101644545","0.11726309806828153804","0.12278376760256418260","0.12659970798268795291"
"2020","KY","21","0.36799897099737032661","0.15486350175184154849","2099120","2136768","0.16085868212346254862","0.15231912435018535767","0.16685386249508354874","0.15104693564935726226"
"2020","LA","22","0.40535559543708951089","0.11750687731212236421","2111810","2148062","0.11468561100509261326","0.11221725433896896623","0.11186434469806286230","0.10957244285239226724"
"2020","ME","23","0.54464606539705353935","-0.02178359264784166425","790372","813740","-0.01308010979696306552","-0.02810609823369479032","-0.00437662694608446679","-0.03126735102662135335"
"2020","MD","24","0.67029047047092340644","-0.14742799772171153134","2961437","3037030","-0.13872132383952862203","-0.13028254022751171308","-0.13001464995734571272","-0.12170981148041180395"
"2020","MA","25","0.67115549540148148816","-0.14829302265226961306","3549404","3631402","-0.14139442412838998710","-0.12678999423081552052","-0.13449582560451036113","-0.11603848002008847425"
"2020","MI","26","0.51413559344409460253","0.00872687930511727257","5453892","5539302","0.01002556689735884916","-0.00271396735049305603","0.01132425448960042574","-0.00843439067829822033"
"2020","MN","27","0.53639513648566667770","-0.01353266373645480260","3201142","3277171","-0.00585183037631165481","-0.01043454683467444326","0.00182900298383149298","-0.00888548838378426359"
"2020","MS","28","0.41615014172611139657","0.10671233102310047853","1296162","1315178","0.10389200115081713278","0.09520509305169798007","0.10107167127853378703","0.08945147406599673084"
"2020","MO","29","0.42164179355598553041","0.10122067919322634469","2971750","3025962","0.10465432008453421225","0.09230253085615000782","0.10808796097584207980","0.08784345668761183939"
"2020","MT","30","0.41602819907951895688","0.10683427366969291822","588388","605750","0.11403924457996112244","0.10607769755477289738","0.12124421549022932665","0.10569940949731288696"
"2020","NE","31","0.40215947753398272976","0.12070299521522914534","931429","956379","0.13338923404793235869","0.13262821854790007896","0.14607547288063557204","0.13859083021423554577"
"2020","NV","32","0.51223117340043804464","0.01063129934877383046","1373376","1405376","0.00392088873445339003","-0.00214045309965888951","-0.00278952187986705041","-0.00852632932387524950"
"2020","NH","33","0.53748347721595041584","-0.01462100446673854074","790575","804430","-0.00322185828528031160","-0.00498965049585325750","0.00817728789617791754","-0.00017397351041061588"
"2020","NJ","34","0.58071283586794843451","-0.05785036311873655941","4491609","4564234","-0.06015453932329824978","-0.06344791368714600184","-0.06245871552785994015","-0.06624668897135072305"
"2020","NM","35","0.55518490151719741275","-0.03232242876798553765","903508","923965","-0.03434179054489687746","-0.03394111423109960757","-0.03636115232180821726","-0.03475045696265664253"
"2020","NY","36","0.61736052541982586780","-0.09449805267061399270","8494236","8616205","-0.09779348965831618277","-0.10626153601838464328","-0.10108892664601837283","-0.11214327769226996857"
"2020","NC","37","0.49315817466813275241","0.02970429808107912269","5443065","5524801","0.02944621256146437917","0.02968168633952021334","0.02918812704184963565","0.02967038046874075866"
"2020","ND","38","0.32782591577103370357","0.19503655697817817153","350497","361819","0.20163827913168028564","0.17475593151104689149","0.20824000128518239974","0.16461561877748125148"
