year,state,fips,dem_share,lean_prev,lean_prev2,gdp_yoy,rdi_yr_to_election,rdi_election_year_change,inflation_yoy,hlean_prev2,hlean_prev,unemployment,spliced_BPHI_dem,spliced_BPHI_gop,inc_tenure,inc_party_cand_approval,inc_pres_approval,inc_midterm_change
1948,AL,1,,-0.27931,-0.3059799999999999,0.0389,1.07334759127334,1.03297570344329,0.077,-0.3832573169800469,-0.4808503603932259,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,AK,2,,,,0.0389,1.07334759127334,1.03297570344329,0.077,,,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,AZ,4,0.5510679903730445,-0.0520399999999999,-0.0880999999999999,0.0389,1.07334759127334,1.03297570344329,0.077,-0.1808180841036547,-0.2264661477768166,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,AR,5,0.7459898912360805,-0.16322,-0.24017,0.0389,1.07334759127334,1.03297570344329,0.077,-0.4055912740366699,-0.5396733223221917,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,CA,6,0.5023454713169798,-0.03017,-0.0314799999999999,0.0389,1.07334759127334,1.03297570344329,0.077,0.0055380806240923,-0.0117728553294532,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,CO,8,0.5271931866146484,0.07193,0.06286,0.0389,1.07334759127334,1.03297570344329,0.077,0.0909523137061144,-0.0007390084727101,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,CT,9,0.4916050268799409,0.0107199999999999,0.0141999999999999,0.0389,1.07334759127334,1.03297570344329,0.077,0.0021462287526483,0.0170590996408496,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,DC,11,,,,0.0389,1.07334759127334,1.03297570344329,0.077,,,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,DE,10,0.49354080392428,-0.00797,0.00164,0.0389,1.07334759127334,1.03297570344329,0.077,0.0131769571032809,0.004470110495715,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,FL,12,0.5920784096349114,-0.1654999999999999,-0.1901399999999999,0.0389,1.07334759127334,1.03297570344329,0.077,-0.4816515230986592,-0.3685620110220762,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,GA,13,0.7685407907960777,-0.27974,-0.3011999999999999,0.0389,1.07334759127334,1.03297570344329,0.077,-0.4816515230986592,-0.5594076121315037,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,HI,15,,,,0.0389,1.07334759127334,1.03297570344329,0.077,,,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,ID,16,0.5140173493422187,0.02024,0.00459,0.0389,1.07334759127334,1.03297570344329,0.077,0.0034968434623992,0.0056677802984855,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,IL,17,0.5042484259892644,0.0202999999999999,0.03777,0.0389,1.07334759127334,1.03297570344329,0.077,-0.0064690472657058,-0.0059610473943301,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,IN,18,0.4959340958873162,0.0662499999999999,0.05716,0.0389,1.07334759127334,1.03297570344329,0.077,0.0505553645710388,-0.0072554393819682,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,IA,19,0.5139522116336317,0.0603699999999999,0.07211,0.0389,1.07334759127334,1.03297570344329,0.077,0.0860464346254711,0.0560991404665898,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,KS,20,0.4541016670946562,0.14372,0.12287,0.0389,1.07334759127334,1.03297570344329,0.077,0.1482078308230985,0.036136435125168,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,KY,21,0.5776926256797934,-0.00858,-0.0258799999999999,0.0389,1.07334759127334,1.03297570344329,0.077,-0.0281516258354154,-0.0729888185378704,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,LA,22,0.6523605150214592,-0.26831,-0.30909,0.0389,1.07334759127334,1.03297570344329,0.077,-0.4816515230986592,-0.5059255209882989,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,ME,23,0.4269158878504673,0.06274,0.06166,0.0389,1.07334759127334,1.03297570344329,0.077,0.2253026590084196,0.0740663961784912,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,MD,24,0.4928672796236249,0.01922,-0.0379199999999999,0.0389,1.07334759127334,1.03297570344329,0.077,-0.0457191565977698,-0.0818012541851944,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,MA,25,0.5588062632753045,0.0086199999999999,0.01607,0.0389,1.07334759127334,1.03297570344329,0.077,0.048493374903722,-0.0226237613247546,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,MI,26,0.491394157713623,0.03261,0.05167,0.0389,1.07334759127334,1.03297570344329,0.077,0.0412315596860449,0.0522229585647764,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
1948,MN,27,0.5889648244110275,0.0097899999999999,0.03068,0.0389,1.07334759127334,1.03297570344329,0.077,0.1087176587179824,0.4405923878684963,3.8,-1.0577821,0.57784493,16,69.0,69.0,-0.0669085832482177
