year,state,year,state,lean_current,dem_share,lean_prev,rdi_yr_to_election,rdi_election_year_change,inc_midterm_change,inc_has_house,inc_tenure,gdp_yoy,inflation_yoy,unemployment,inc_pres,state_pop,state_evs,inc_party_cand_approval,inc_pres_approval,inc_party,inc_candidate,noninc_candidate,rosenstone_inc_new_deal,rosenstone_inc_race,rosenstone_noninc_new_deal,rosenstone_noninc_race,spliced_BPHI_inc,spliced_BPHI_noninc,inc_nom_dim1,inc_nom_dim2,noninc_nom_dim1,noninc_nom_dim2,inc_share,inc_lean_current,inc_hlean_prev,inc_hlean_prev2,inc_hlean_prev3,inc_hlean_prev4,inc_hshare_prev,inc_hshare_prev2,inc_hshare_prev3,inc_hshare_prev4,inc_lean_prev,inc_lean_prev2,inc_lean_prev3,inc_lean_prev4,inc_lean_trend,inc_evs,spliced_diff_natl,inc_home_state,noninc_home_state,inc_vp_home_state,noninc_vp_home_state,inc_south_bonus,noninc_south_bonus,state_liberalism,rstone_state_ndsw,rstone_state_race,state_nom_dim1,state_nom_dim2,state_citizen_nom,berry_citizen,berry_gov,inc_cfscore,noninc_cfscore,mean_cfscore_adj,mean_cfscore_unweighted,mean_cfscore_adj_smooth,mean_cfscore_smooth,mean_cfscore,nom_dim1_inc_minus_noninc,nom_dim2_inc_minus_noninc,nom_norm_inc_minus_noninc,inc_minus_noninc_rstone_ndsw,inc_minus_noninc_rstone_race,berry_inc_minus_noninc_citizen,berry_inc_minus_noninc_nom,rstone_race_continuous,splice_inc_minus_noninc,inc_minus_noninc_dime
1948,GA,1948,GA,-0.24484,0.768540791,-0.27974,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,3259,12,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.768540791,0.24484,0.559407612,0.481651523,0.524273108,,1,1,1,1,0.27974,0.3012,0.24906,0.3303,0.03068,12,0.47993717,0,0,0,0,0,0,24.46795686,1.847331475,1.597677773,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,HI,1948,HI,,,,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,,0,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,,,,,,,,,,,,,,,,0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,
1948,ID,1948,ID,0.00968,0.514017349,0.02024,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,551,4,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.514017349,-0.00968,-0.00566778,-0.003496843,0.011902808,0.003171288,0.434924608,0.434924608,0.434924608,0.434924608,-0.02024,-0.00459,0.03025,0.01371,-0.05049,4,0.47993717,0,0,0,0,0,0,47.29969898,-1.325593129,-0.278204068,,,,,,,,,,,,,,,,,,0,0,0.388765891,,
1948,IL,1948,IL,0.01945,0.504248426,0.0203,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,8552,28,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.504248426,-0.01945,0.005961047,0.006469047,0.009235926,-0.043640516,0.446553435,0.446553435,0.446553435,0.446553435,-0.0203,-0.03777,-0.0321,-0.02369,0.0118,28,0.47993717,0,0,0,0,0,0,64.42707851,-0.079087034,-0.417158279,,,,,,,,,,,,,,,,,,0,0,0.11085747,,
1948,IN,1948,IN,0.02777,0.495934096,0.06625,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,3877,13,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.495934096,-0.02777,0.007255439,-0.050555365,-0.030455388,-0.040755324,0.447847827,0.447847827,0.447847827,0.447847827,-0.06625,-0.05716,-0.04974,-0.03144,-0.01651,0,0.47993717,0,0,0,0,0,0,48.09659305,1.091873236,-0.729805252,,,,,,,,,,,,,,,,,,0,0,-0.514436478,,
1948,IA,1948,IA,0.00975,0.513952212,0.06037,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2543,10,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.513952212,-0.00975,-0.05609914,-0.086046435,-0.094676454,-0.079062662,0.384493247,0.384493247,0.384493247,0.384493247,-0.06037,-0.07211,-0.06428,-0.00083,0.00391,10,0.47993717,0,0,0,0,0,0,46.23109751,0.034231701,-1.355099199,,,,,,,,,,,,,,,,,,0,0,-1.167567916,,
1948,KS,1948,KS,0.0696,0.454101667,0.14372,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,1892,8,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.454101667,-0.0696,-0.036136435,-0.148207831,-0.081373234,-0.108291087,0.404455953,0.404455953,0.404455953,0.404455953,-0.14372,-0.12287,-0.08583,-0.04321,-0.05789,0,0.47993717,0,0,0,0,0,0,50.54140747,-0.419043242,-0.590851042,,,,,,,,,,,,,,,,,,0,0,-0.236528057,,
1948,KY,1948,KY,-0.05399,0.577692626,-0.00858,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2817,11,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.577692626,0.05399,0.072988819,0.028151626,0.089082326,0.028763694,0.513581206,0.513581206,0.513581206,0.513581206,0.00858,0.02588,-0.03009,0.00379,0.03867,11,0.47993717,0,0,1,0,0,0,37.83085535,1.054100324,0.103920011,,,,,,,,,,,,,,,,,,0,0,1.153014048,,
1948,LA,1948,LA,-0.12866,0.652360515,-0.26831,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,2596,10,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.652360515,0.12866,0.505925521,0.481651523,0.524273108,0.42507706,0.946517909,0.946517909,0.946517909,0.946517909,0.26831,0.30909,0.26385,0.33823,0.00446,10,0.47993717,0,0,0,0,0,0,45.84340206,0.411960821,1.771370536,,,,,,,,,,,,,,,,,,0,0,1.167567916,,
1948,ME,1948,ME,0.09678,0.426915888,0.06274,1.073347591,1.032975703,-0.066908583,0,16,0.0389,0.077,3.8,1,878,5,69,69,0,Truman_1948,Dewey_1948,-0.826145404,-1.056370971,0.605250911,0.111196944,64.63472976,41.40316198,-0.374,0.014,,,0.426915888,-0.09678,-0.074066396,-0.225302659,-0.171663357,-0.177593089,0.366525992,0.366525992,0.366525992,0.366525992,-0.06274,-0.06166,-0.19654,-0.15531,0.1338,0,0.47993717,0,0,0,0,0,0,47.62015147,-1.287820217,-0.243465516,,,,,,,,,,,,,,,,,,0,0,0.458242996,,
