,statename,year,mood,democrat,republican,liberal,conservative,mood_d2
0,Alabama,1956.0,43.922,69.49913578205063,14.821003402102326,,,41.651
1,Alabama,1957.0,43.758,59.452012470973614,23.024554891338628,,,39.069
2,Alabama,1958.0,50.181,71.96467734091655,14.61451314144912,,,47.224
3,Alabama,1959.0,50.265,65.13517822710635,12.493079162129648,,,48.469
4,Alabama,1960.0,49.411,68.36859652897502,12.25102921625375,,,41.238
5,Alabama,1961.0,52.585,58.28168063413759,13.50107712095022,,,50.96
6,Alabama,1962.0,53.005,57.44828085787864,17.79503770169228,,,53.183
7,Alabama,1963.0,59.244,51.92462957260267,18.790107311915282,,,59.784
8,Alabama,1964.0,59.988,53.21377486710783,23.889204746859352,,,58.932
9,Alabama,1965.0,59.623,42.6004237563972,18.71140701952568,,,49.155
10,Alabama,1966.0,55.394,55.80514369410191,21.20443591082374,,,38.266
11,Alabama,1967.0,60.416,43.390414530786956,13.0924528848824,,,47.876
12,Alabama,1968.0,58.048,42.90373440534708,12.068475661733395,,,44.738
13,Alabama,1969.0,53.013,42.670453441194184,15.046957260423266,,,37.25
14,Alabama,1970.0,55.479,44.75905163542927,15.618488685220768,,,33.796
15,Alabama,1971.0,52.406,48.75886586759999,16.130938569146657,,,36.612
16,Alabama,1972.0,52.785,46.06515042329062,23.700967996626378,,,39.39
17,Alabama,1973.0,47.88,55.39359309135856,14.545896344036201,,,36.169
18,Alabama,1974.0,46.52,54.46177733072008,12.806497404674827,,,36.078
19,Alabama,1975.0,45.477,48.75942206646798,11.550313755487549,,,36.58
20,Alabama,1976.0,45.657,50.39068676867835,14.957685057551606,19.67219588571358,31.609046063631464,38.993
21,Alabama,1977.0,44.457,52.44421000908083,21.012696952116013,19.856606043095155,26.802032293572907,40.084
22,Alabama,1978.0,44.894,52.719762322456354,11.603349182067383,21.47668938364392,34.28514586050224,40.404
23,Alabama,1979.0,42.957,50.751133896623244,20.891612284777057,17.989023021948885,41.59218265526209,39.228
24,Alabama,1980.0,42.346,52.34522307301894,14.875061167627242,16.055359608349278,27.517112843252278,37.87
25,Alabama,1981.0,42.771,53.13553185866159,18.055290658432334,21.137846837233607,41.550628122301134,40.051
26,Alabama,1982.0,44.65,52.155291600373864,28.669013856684455,18.44557237375584,33.715914942682275,42.527
27,Alabama,1983.0,45.896,48.96936702383907,16.953992437791253,19.562653927026584,39.59822697759062,46.874
28,Alabama,1984.0,46.535,43.17591032036316,29.976547069580295,17.18135424972806,28.54064157280612,48.102
29,Alabama,1985.0,45.059,43.177580366995535,26.86652008315506,21.133595739963184,28.446910195428828,48.577
30,Alabama,1986.0,46.25,44.09727288387285,26.537707360375823,17.743846559977836,33.38711136173919,50.242
31,Alabama,1987.0,48.42,48.68363969587701,28.0052378516835,20.99922667359015,33.735107195115695,56.353
32,Alabama,1988.0,45.798,44.23781445879072,26.794601982201314,15.911642232446338,36.53019112919447,55.507
33,Alabama,1989.0,45.803,36.96124826327761,36.104424366795,22.56341144507307,35.188850523866535,52.901
34,Alabama,1990.0,47.169,38.69526833345412,32.42946447008884,22.132796768787372,48.5878278273116,49.122
35,Alabama,1991.0,45.802,31.391957516902036,30.743238399948858,26.245708580648024,46.28636008035777,48.884
36,Alabama,1992.0,42.124,39.92533997305902,27.240250016561113,13.549696575446854,37.38397333260092,43.827
37,Alabama,1993.0,42.784,33.92530044517824,28.49151364584034,13.598685361928178,38.10799253388539,46.953
38,Alabama,1994.0,40.125,35.66892671728298,25.800291518542444,9.108787145091375,37.35183792402635,50.243
39,Alabama,1995.0,36.896,27.433626549711626,26.42826149771643,11.710589509234657,37.89026947340682,52.694
40,Alabama,1996.0,36.33,29.861574490207687,25.05964792747612,9.970868225458297,33.55146083838077,53.787
41,Alabama,1997.0,36.979,29.587651336876363,23.714896991088597,12.460012164823516,34.72919381087614,52.191
42,Alabama,1998.0,37.029,28.80690173748145,25.72077796841955,12.2918627045226,31.025184207935077,56.172
43,Alabama,1999.0,36.231,27.577429055161673,19.899926631778406,12.552210442137918,33.90097593659009,53.03
44,Alabama,2000.0,39.099,37.2930989937314,30.37160661683903,14.734655509081568,36.45047881085537,49.261
45,Alabama,2001.0,39.326,35.80950729708936,36.067318420102616,20.004861965339618,33.62556911983398,47.876
46,Alabama,2002.0,41.064,34.14544696800097,35.5096195414884,14.372730639298478,43.38626437700255,54.904
47,Alabama,2003.0,39.845,29.14645312283422,34.08879257154921,13.918555149764977,48.54189594054779,49.033
48,Alabama,2004.0,40.406,31.6476623191222,41.63479064571943,11.851168626242234,45.63021683544134,49.138
49,Alabama,2005.0,36.552,36.9565430574536,31.56346055841375,13.503570239883608,50.33110800578571,42.063
50,Alabama,2006.0,37.73,36.66195552301142,37.89726745169059,17.066763121540678,47.03203327538349,44.037
51,Alabama,2007.0,37.655,33.76399998619401,32.32213061203164,13.61823625333836,49.30369828924755,42.642
52,Alabama,2008.0,37.723,32.41698143843239,36.59110975444424,15.253817596491626,49.37497567120573,40.605
53,Alabama,2009.0,36.028,30.22559038966336,32.644987937160316,14.037460469704142,50.632874536880564,40.298
54,Alabama,2010.0,38.525,30.54248739832129,36.145782909344234,12.992073654580643,51.236363691811015,44.234
55,Alaska,1956.0,,,,,,
56,Alaska,1957.0,,,,,,
57,Alaska,1958.0,,,,,,
58,Alaska,1959.0,,,,,,
59,Alaska,1960.0,51.654,43.91167747706175,25.24201806605274,,,30.402
60,Alaska,1961.0,47.305,51.46384662869572,25.712923258349957,,,33.239
61,Alaska,1962.0,49.995,48.34725901159299,24.409697369720014,,,29.189
62,Alaska,1963.0,47.191,46.723559121314736,22.999314629784305,,,33.741
63,Alaska,1964.0,54.377,52.26073411313933,26.933486143542645,,,38.489
64,Alaska,1965.0,54.429,49.08181766856401,22.62635568236638,,,38.096
65,Alaska,1966.0,55.719,46.72827164727806,26.670032053347164,,,40.856
66,Alaska,1967.0,56.707,35.94950002593956,18.644589131073726,,,36.691
67,Alaska,1968.0,53.355,40.10329086114038,26.976756478168802,,,42.066
68,Alaska,1969.0,47.984,36.641413627645754,26.962184862232984,,,50.971
69,Alaska,1970.0,47.785,42.53402529301156,25.132596346970548,,,50.825
70,Alaska,1971.0,50.458,39.62251681564727,22.594287731185368,,,48.974
71,Alaska,1972.0,46.301,41.67100676398964,26.713650248435794,,,47.765
72,Alaska,1973.0,44.91,36.51470342542907,22.44825657499954,,,46.222
73,Alaska,1974.0,40.717,39.67028849241666,24.55333785972896,,,46.955
74,Alaska,1975.0,43.142,38.79890488617931,23.918284073590996,,,47.64
