year,state,year,state,lean_current,dem_share,lean_prev,rdi_yr_to_election,rdi_election_year_change,inc_midterm_change,inc_has_house,inc_tenure,gdp_yoy,inflation_yoy,unemployment,inc_pres,state_pop,state_evs,inc_party_cand_approval,inc_pres_approval,hlean_prev,hlean_prev2,hlean_prev3,hlean_prev4,dem_hshare_prev,dem_hshare_prev2,dem_hshare_prev3,dem_hshare_prev4,lean_prev2,lean_prev3,lean_prev4,lean_trend,inc_party,inc_candidate,noninc_candidate,rosenstone_dem_new_deal,rosenstone_dem_race,spliced_BPHI_dem,dem_nom_dim1,dem_nom_dim2,dem_lean_current,rosenstone_gop_new_deal,rosenstone_gop_race,spliced_BPHI_gop,gop_nom_dim1,gop_nom_dim2,gop_share,gop_lean_current,dem_evs,spliced_diff_natl_dem_minus_gop,inc_home_state,noninc_home_state,inc_vp_home_state,noninc_vp_home_state,inc_south_bonus,noninc_south_bonus,state_liberalism,rstone_state_ndsw,rstone_state_race,state_nom_dim1,state_nom_dim2,state_citizen_nom,berry_citizen,berry_gov,dem_cfscore,gop_cfscore,mean_cfscore_adj,mean_cfscore_unweighted,mean_cfscore_adj_smooth,mean_cfscore_smooth,mean_cfscore
1948,AL,1948,AL,,,-0.27931000000000006,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,2969.0,11,69.0,69.0,-0.4808503603932259,-0.3832573169800469,-0.5188092793110997,-0.4134707191556706,0.9214427482617222,0.9214427482617222,0.9214427482617222,0.9214427482617222,-0.3059799999999999,-0.24616000000000005,-0.2655700000000001,-0.03315000000000001,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,,0.6052509109010726,0.10806400555972814,0.57784493,,,,,0,0.47993717,0,0,0,0,0,0,-0.70041168184003,0.8,1.7,,,,,,,,,,,,
1948,AK,1948,AK,,,,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,,0,69.0,69.0,,,,,,,,,,,,,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,,0.6052509109010726,0.10806400555972814,0.57784493,,,,,0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,
1948,AZ,1948,AZ,-0.027369999999999894,0.5510679903730445,-0.052039999999999975,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,690.0,4,69.0,69.0,-0.2264661477768166,-0.1808180841036547,-0.2552913593916633,-0.179898786620044,0.667058535645313,0.667058535645313,0.667058535645313,0.667058535645313,-0.08809999999999996,-0.09719,-0.09556000000000009,0.04515000000000002,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,0.027369999999999894,0.6052509109010726,0.10806400555972814,0.57784493,,,0.44893200962695545,-0.027369999999999894,4,0.47993717,0,0,0,0,0,0,-0.416311365771534,6.9,2.2,,,,,,,,,,,,
1948,AR,1948,AR,-0.22229,0.7459898912360805,-0.16322000000000003,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,1825.0,9,69.0,69.0,-0.5396733223221917,-0.4055912740366699,-0.5242731081172565,-0.4273857292856317,0.980265710190688,0.980265710190688,0.980265710190688,0.980265710190688,-0.24017,-0.19625000000000004,-0.27797000000000005,0.033030000000000004,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,0.22229,0.6052509109010726,0.10806400555972814,0.57784493,,,0.2540101087639195,-0.22229,9,0.47993717,0,0,0,0,0,0,-1.27685478462211,1.9,2.2,,,,,,,,,,,,
1948,CA,1948,CA,0.02135000000000009,0.5023454713169798,-0.03017000000000003,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,10064.0,25,69.0,69.0,-0.0117728553294532,0.0055380806240923,-0.033076840661853,-0.0399786801933538,0.4523652431979496,0.4523652431979496,0.4523652431979496,0.4523652431979496,-0.03147999999999995,-0.054139999999999966,-0.018140000000000045,0.023969999999999936,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,-0.02135000000000009,0.6052509109010726,0.10806400555972814,0.57784493,,,0.4976545286830202,0.02135000000000009,25,0.47993717,0,0,0,1,0,0,1.11704887014624,9.0,9.2,,,,,,,,,,,,
1948,CO,1948,CO,-0.003489999999999993,0.5271931866146484,0.07193,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,1263.0,6,69.0,69.0,-0.0007390084727101,0.0909523137061144,0.0601890932778257,-0.0151736221960305,0.4413313963412065,0.4413313963412065,0.4413313963412065,0.4413313963412065,0.06286000000000003,0.005140000000000033,0.021949999999999914,0.06678999999999996,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,0.003489999999999993,0.6052509109010726,0.10806400555972814,0.57784493,,,0.4728068133853516,-0.003489999999999993,6,0.47993717,0,0,0,0,0,0,0.685554040987444,8.9,10.1,,,,,,,,,,,,
1948,CT,1948,CT,0.03209000000000006,0.4916050268799409,0.010719999999999952,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,2014.0,8,69.0,69.0,0.0170590996408496,0.0021462287526483,-0.0007049481858668,0.0044782576270252,0.4235332882276467,0.4235332882276467,0.4235332882276467,0.4235332882276467,0.01419999999999999,0.04629000000000005,0.09743999999999997,-0.0355700000000001,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,-0.03209000000000006,0.6052509109010726,0.10806400555972814,0.57784493,,,0.5083949731200591,0.03209000000000006,0,0.47993717,0,0,0,0,0,0,0.872173969535113,6.0,8.0,,,,,,,,,,,,
1948,DC,1948,DC,,,,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,840.0,0,69.0,69.0,,,,,,,,,,,,,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,,0.6052509109010726,0.10806400555972814,0.57784493,,,,,0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,
1948,DE,1948,DE,0.030160000000000076,0.49354080392428,-0.007970000000000033,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,312.0,3,69.0,69.0,0.004470110495715,0.0131769571032809,0.0147951057712914,0.0169062675639747,0.4361222773727813,0.4361222773727813,0.4361222773727813,0.4361222773727813,0.0016400000000000858,0.07545999999999997,0.10384999999999994,-0.08343,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,-0.030160000000000076,0.6052509109010726,0.10806400555972814,0.57784493,,,0.50645919607572,0.030160000000000076,0,0.47993717,0,0,0,0,0,0,-1.14535660820767,4.1,5.6,,,,,,,,,,,,
1948,FL,1948,FL,-0.06838,0.5920784096349114,-0.16549999999999998,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,2578.0,8,69.0,69.0,-0.3685620110220762,-0.4816515230986592,-0.4062825487746476,-0.3306057609269307,0.8091543988905726,0.8091543988905726,0.8091543988905726,0.8091543988905726,-0.19013999999999998,-0.13641999999999999,-0.15742,-0.029079999999999995,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,0.06838,0.6052509109010726,0.10806400555972814,0.57784493,,,0.40792159036508857,-0.06838,8,0.47993717,0,0,0,0,0,0,-1.1950285214014,4.1,5.3,,,,,,,,,,,,
