,year,state,lean_current,dem_share,lean_prev,rdi_yr_to_election,rdi_election_year_change,inc_midterm_change,inc_has_house,inc_tenure,gdp_yoy,inflation_yoy,unemployment,inc_pres,state_pop,state_evs,inc_party_cand_approval,inc_pres_approval,hlean_prev,hlean_prev2,hlean_prev3,hlean_prev4,dem_hshare_prev,dem_hshare_prev2,dem_hshare_prev3,dem_hshare_prev4,lean_prev2,lean_prev3,lean_prev4,lean_trend,inc_party,inc_candidate,noninc_candidate,rosenstone_dem_new_deal,rosenstone_dem_race,spliced_BPHI_dem,dem_nom_dim1,dem_nom_dim2,dem_lean_current,rosenstone_gop_new_deal,rosenstone_gop_race,spliced_BPHI_gop,gop_nom_dim1,gop_nom_dim2,gop_share,gop_lean_current,dem_evs,spliced_diff_natl_dem_minus_gop,inc_home_state,noninc_home_state,inc_vp_home_state,noninc_vp_home_state,inc_south_bonus,noninc_south_bonus,state_liberalism,rstone_state_ndsw,rstone_state_race,state_nom_dim1,state_nom_dim2,state_citizen_nom,berry_citizen,berry_gov,dem_cfscore,gop_cfscore,mean_cfscore_adj,mean_cfscore_unweighted,mean_cfscore_adj_smooth,mean_cfscore_smooth,mean_cfscore,partisan_lean
0,1948,AL,,,-0.27931,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,2969.0,11.0,69.0,69.0,-0.4808503603932259,-0.3832573169800469,-0.5188092793110997,-0.4134707191556706,0.9214427482617222,0.9214427482617222,0.9214427482617222,0.9214427482617222,-0.3059799999999999,-0.24616,-0.2655700000000001,-0.03315,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,,0.6052509109010726,0.1080640055597281,0.57784493,,,,,0.0,0.47993717,0,0,0,0,0,0,-0.70041168184003,0.8,1.7,,,,,,,,,,,,,-0.29264499999999993
1,1948,AK,,,,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,,0.0,69.0,69.0,,,,,,,,,,,,,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,,0.6052509109010726,0.1080640055597281,0.57784493,,,,,0.0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,1948,AZ,-0.0273699999999998,0.5510679903730445,-0.0520399999999999,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,690.0,4.0,69.0,69.0,-0.2264661477768166,-0.1808180841036547,-0.2552913593916633,-0.179898786620044,0.667058535645313,0.667058535645313,0.667058535645313,0.667058535645313,-0.0880999999999999,-0.09719,-0.09556,0.04515,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,0.0273699999999998,0.6052509109010726,0.1080640055597281,0.57784493,,,0.4489320096269554,-0.0273699999999998,4.0,0.47993717,0,0,0,0,0,0,-0.416311365771534,6.9,2.2,,,,,,,,,,,,,-0.0700699999999999
3,1948,AR,-0.22229,0.7459898912360805,-0.16322,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,1825.0,9.0,69.0,69.0,-0.5396733223221917,-0.4055912740366699,-0.5242731081172565,-0.4273857292856317,0.980265710190688,0.980265710190688,0.980265710190688,0.980265710190688,-0.24017,-0.19625,-0.27797,0.03303,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,0.22229,0.6052509109010726,0.1080640055597281,0.57784493,,,0.2540101087639195,-0.22229,9.0,0.47993717,0,0,0,0,0,0,-1.27685478462211,1.9,2.2,,,,,,,,,,,,,-0.201695
4,1948,CA,0.02135,0.5023454713169798,-0.03017,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,10064.0,25.0,69.0,69.0,-0.0117728553294532,0.0055380806240923,-0.033076840661853,-0.0399786801933538,0.4523652431979496,0.4523652431979496,0.4523652431979496,0.4523652431979496,-0.0314799999999999,-0.0541399999999999,-0.01814,0.0239699999999999,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,-0.02135,0.6052509109010726,0.1080640055597281,0.57784493,,,0.4976545286830202,0.02135,25.0,0.47993717,0,0,0,1,0,0,1.11704887014624,9.0,9.2,,,,,,,,,,,,,-0.03082499999999995
5,1948,CO,-0.0034899999999999,0.5271931866146484,0.07193,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,1263.0,6.0,69.0,69.0,-0.0007390084727101,0.0909523137061144,0.0601890932778257,-0.0151736221960305,0.4413313963412065,0.4413313963412065,0.4413313963412065,0.4413313963412065,0.06286,0.00514,0.0219499999999999,0.0667899999999999,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,0.0034899999999999,0.6052509109010726,0.1080640055597281,0.57784493,,,0.4728068133853516,-0.0034899999999999,6.0,0.47993717,0,0,0,0,0,0,0.685554040987444,8.9,10.1,,,,,,,,,,,,,0.067395
6,1948,CT,0.03209,0.4916050268799409,0.0107199999999999,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,2014.0,8.0,69.0,69.0,0.0170590996408496,0.0021462287526483,-0.0007049481858668,0.0044782576270252,0.4235332882276467,0.4235332882276467,0.4235332882276467,0.4235332882276467,0.0141999999999999,0.04629,0.0974399999999999,-0.0355700000000001,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,-0.03209,0.6052509109010726,0.1080640055597281,0.57784493,,,0.5083949731200591,0.03209,0.0,0.47993717,0,0,0,0,0,0,0.872173969535113,6.0,8.0,,,,,,,,,,,,,0.0124599999999999
7,1948,DC,,,,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,840.0,0.0,69.0,69.0,,,,,,,,,,,,,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,,0.6052509109010726,0.1080640055597281,0.57784493,,,,,0.0,0.47993717,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8,1948,DE,0.03016,0.49354080392428,-0.00797,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,312.0,3.0,69.0,69.0,0.004470110495715,0.0131769571032809,0.0147951057712914,0.0169062675639747,0.4361222773727813,0.4361222773727813,0.4361222773727813,0.4361222773727813,0.00164,0.0754599999999999,0.1038499999999999,-0.08343,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,-0.03016,0.6052509109010726,0.1080640055597281,0.57784493,,,0.50645919607572,0.03016,0.0,0.47993717,0,0,0,0,0,0,-1.14535660820767,4.1,5.6,,,,,,,,,,,,,-0.003165
9,1948,FL,-0.06838,0.5920784096349114,-0.1654999999999999,1.07334759127334,1.03297570344329,-0.0669085832482177,0,16,0.0389,0.077,3.8,1,2578.0,8.0,69.0,69.0,-0.3685620110220762,-0.4816515230986592,-0.4062825487746476,-0.3306057609269307,0.8091543988905726,0.8091543988905726,0.8091543988905726,0.8091543988905726,-0.1901399999999999,-0.1364199999999999,-0.15742,-0.0290799999999999,0,Truman_1948,Dewey_1948,-0.8261454039306606,-1.0266080528174153,-1.0577821,-0.374,0.014,0.06838,0.6052509109010726,0.1080640055597281,0.57784493,,,0.4079215903650885,-0.06838,8.0,0.47993717,0,0,0,0,0,0,-1.1950285214014,4.1,5.3,,,,,,,,,,,,,-0.1778199999999999
